PrimSource,hour,gen_mw,hour_text
coal,1,127059,1:00 AM
coal,2,120808,2:00 AM
coal,3,117655,3:00 AM
coal,4,116270,4:00 AM
coal,5,118483,5:00 AM
coal,6,123002,6:00 AM
coal,7,128194,7:00 AM
coal,8,131768,8:00 AM
coal,9,135801,9:00 AM
coal,10,140071,10:00 AM
coal,11,145994,11:00 AM
coal,12,150474,12:00 PM
coal,13,152449,1:00 PM
coal,14,153345,2:00 PM
coal,15,154776,3:00 PM
coal,16,155402,4:00 PM
coal,17,156492,5:00 PM
coal,18,156397,6:00 PM
coal,19,154853,7:00 PM
coal,20,154424,8:00 PM
coal,21,154026,9:00 PM
coal,22,150376,10:00 PM
coal,23,143913,11:00 PM
coal,24,135771,12:00 AM
hydroelectric,1,20548,1:00 AM
hydroelectric,2,19395,2:00 AM
hydroelectric,3,18865,3:00 AM
hydroelectric,4,18421,4:00 AM
hydroelectric,5,18632,5:00 AM
hydroelectric,6,20046,6:00 AM
hydroelectric,7,22261,7:00 AM
hydroelectric,8,23108,8:00 AM
hydroelectric,9,24489,9:00 AM
hydroelectric,10,26304,10:00 AM
hydroelectric,11,28605,11:00 AM
hydroelectric,12,31778,12:00 PM
hydroelectric,13,37201,1:00 PM
hydroelectric,14,43268,2:00 PM
hydroelectric,15,47771,3:00 PM
hydroelectric,16,50363,4:00 PM
hydroelectric,17,51701,5:00 PM
hydroelectric,18,51851,6:00 PM
hydroelectric,19,49084,7:00 PM
hydroelectric,20,45225,8:00 PM
hydroelectric,21,39605,9:00 PM
hydroelectric,22,34505,10:00 PM
hydroelectric,23,27545,11:00 PM
hydroelectric,24,22911,12:00 AM
natural_gas,1,168858,1:00 AM
natural_gas,2,158590,2:00 AM
natural_gas,3,151417,3:00 AM
natural_gas,4,148365,4:00 AM
natural_gas,5,150497,5:00 AM
natural_gas,6,158919,6:00 AM
natural_gas,7,166805,7:00 AM
natural_gas,8,176198,8:00 AM
natural_gas,9,186268,9:00 AM
natural_gas,10,200861,10:00 AM
natural_gas,11,219202,11:00 AM
natural_gas,12,235107,12:00 PM
natural_gas,13,251563,1:00 PM
natural_gas,14,265314,2:00 PM
natural_gas,15,275472,3:00 PM
natural_gas,16,283821,4:00 PM
natural_gas,17,286700,5:00 PM
natural_gas,18,286325,6:00 PM
natural_gas,19,282094,7:00 PM
natural_gas,20,269799,8:00 PM
natural_gas,21,258154,9:00 PM
natural_gas,22,270080,10:00 PM
natural_gas,23,209870,11:00 PM
natural_gas,24,185350,12:00 AM
nuclear,1,94096,1:00 AM
nuclear,2,94036,2:00 AM
nuclear,3,94025,3:00 AM
nuclear,4,94045,4:00 AM
nuclear,5,93829,5:00 AM
nuclear,6,93751,6:00 AM
nuclear,7,93774,7:00 AM
nuclear,8,93753,8:00 AM
nuclear,9,93725,9:00 AM
nuclear,10,93654,10:00 AM
nuclear,11,93530,11:00 AM
nuclear,12,93481,12:00 PM
nuclear,13,93468,1:00 PM
nuclear,14,93386,2:00 PM
nuclear,15,93410,3:00 PM
nuclear,16,93347,4:00 PM
nuclear,17,93336,5:00 PM
nuclear,18,93337,6:00 PM
nuclear,19,93322,7:00 PM
nuclear,20,93268,8:00 PM
nuclear,21,93226,9:00 PM
nuclear,22,93360,10:00 PM
nuclear,23,93469,11:00 PM
nuclear,24,93573,12:00 AM
other,1,8426,1:00 AM
other,2,7585,2:00 AM
other,3,7400,3:00 AM
other,4,7320,4:00 AM
